n01440764	tench, Tinca tinca
n01443537	金魚
n01484850	ホホジロザメ
n01491361	イタチザメ
n01494475	撞木鮫
n01496331	シビレエイ
n01498041	アカエイ
n01514668	cock
n01514859	hen
n01518878	鴕鳥
n01530575	アトリ
n01531178	goldfinch, Carduelis carduelis
n01532829	メキシコマシコ
n01534433	junco, snowbird
n01537544	ルリノジコ
n01558993	コマツグミ
n01560419	目黒
n01580077	樫鳥
n01582220	カササギ
n01592084	四十雀
n01601694	カワガラス
n01608432	トビ
n01614925	白頭鷲
n01616318	禿鷹
n01622779	カラフトフクロウ
n01629819	European fire salamander, Salamandra salamandra
n01630670	common newt, Triturus vulgaris
n01631663	eft
n01632458	spotted salamander, Ambystoma maculatum
n01632777	アホロートル
n01641577	ウシガエル
n01644373	tree frog, tree-frog
n01644900	tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui
n01664065	赤海亀
n01665541	leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea
n01667114	鼈
n01667778	スッポン
n01669191	box turtle, box tortoise
n01675722	banded gecko
n01677366	イグアナ
n01682714	American chameleon, anole, Anolis carolinensis
n01685808	whiptail, whiptail lizard
n01687978	agama
n01688243	frilled lizard, Chlamydosaurus kingi
n01689811	alligator lizard
n01692333	Gila monster, Heloderma suspectum
n01693334	green lizard, Lacerta viridis
n01694178	African chameleon, Chamaeleo chamaeleon
n01695060	コモド大蜥蜴
n01697457	ナイル鰐
n01698640	ミシシッピ鰐
n01704323	トリケラトプス
n01728572	盲蛇
n01728920	ringneck snake, ring-necked snake, ring snake
n01729322	hognose snake, puff adder, sand viper
n01729977	green snake, grass snake
n01734418	king snake, kingsnake
n01735189	garter snake, grass snake
n01737021	water snake
n01739381	vine snake
n01740131	night snake, Hypsiglena torquata
n01742172	ボアコンストリクター
n01744401	アフリカニシキヘビ
n01748264	Indian cobra, Naja naja
n01749939	green mamba
n01751748	ウミヘビ
n01753488	horned viper, cerastes, sand viper, horned asp, Cerastes cornutus
n01755581	ダイヤガラガラヘビ
n01756291	ヨコバイガラガラヘビ
n01768244	三葉虫
n01770081	harvestman, daddy longlegs, Phalangium opilio
n01770393	蠍
n01773157	black and gold garden spider, Argiope aurantia
n01773549	barn spider, Araneus cavaticus
n01773797	garden spider, Aranea diademata
n01774384	black widow, Latrodectus mactans
n01774750	タランチュラ
n01775062	コモリグモ
n01776313	真だに
n01784675	centipede
n01795545	クロライチョウ
n01796340	雷鳥
n01797886	ruffed grouse, partridge, Bonasa umbellus
n01798484	prairie chicken, prairie grouse, prairie fowl
n01806143	クジャクの雄
n01806567	ウズラ
n01807496	partridge
n01817953	African grey, African gray, Psittacus erithacus
n01818515	macaw
n01819313	sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita
n01820546	lorikeet
n01824575	coucal
n01828970	bee eater
n01829413	サイチョウ
n01833805	hummingbird
n01843065	jacamar
n01843383	オオハシ
n01847000	drake
n01855032	海秋沙
n01855672	鵞鳥
n01860187	黒鳥
n01871265	tusker
n01872401	ハリモグラ
n01873310	鴨の嘴
n01877812	ワラビー
n01882714	コアラ
n01883070	ウォンバット
n01910747	クラゲ
n01914609	イソギンチャク
n01917289	脳珊瑚
n01924916	扁形動物
n01930112	線虫
n01943899	conch
n01944390	蝸牛
n01945685	ナメクジ
n01950731	ウミウシ
n01955084	ヒザラガイ
n01968897	鸚鵡貝
n01978287	Dungeness crab, Cancer magister
n01978455	rock crab, Cancer irroratus
n01980166	fiddler crab
n01981276	兜蟹
n01983481	American lobster, Northern lobster, Maine lobster, Homarus americanus
n01984695	spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish
n01985128	ザリガニ
n01986214	hermit crab
n01990800	等脚目
n02002556	シュバシコウ
n02002724	ナベコウ
n02006656	ヘラサギ
n02007558	フラミンゴ
n02009229	little blue heron, Egretta caerulea
n02009912	American egret, great white heron, Egretta albus
n02011460	bittern
n02012849	ツル
n02013706	limpkin, Aramus pictus
n02017213	European gallinule, Porphyrio porphyrio
n02018207	アメリカオオバン
n02018795	bustard
n02025239	ruddy turnstone, Arenaria interpres
n02027492	ハマシギ
n02028035	redshank, Tringa totanus
n02033041	dowitcher
n02037110	ミヤコドリ族
n02051845	伽藍鳥
n02056570	キングペンギン
n02058221	信天翁
n02066245	コククジラ
n02071294	鯱
n02074367	ジュゴン
n02077923	葦鹿
n02085620	チワワ
n02085782	狆
n02085936	マルチーズ
n02086079	ペキニーズ
n02086240	シーズー
n02086646	ブレナムスパニエル
n02086910	パピヨン
n02087046	トイテリア
n02087394	Rhodesian ridgeback
n02088094	アフガンハウンド
n02088238	バセットハウンド
n02088364	ビーグル
n02088466	警察犬
n02088632	bluetick
n02089078	black-and-tan coonhound
n02089867	Walker hound, Walker foxhound
n02089973	English foxhound
n02090379	redbone
n02090622	ボルゾイ
n02090721	アイリッシュウルフハウンド
n02091032	イタリアン・グレーハウンド
n02091134	whippet
n02091244	Ibizan hound, Ibizan Podenco
n02091467	Norwegian elkhound, elkhound
n02091635	オッターハウンド
n02091831	Saluki, gazelle hound
n02092002	Scottish deerhound, deerhound
n02092339	Weimaraner
n02093256	Staffordshire bullterrier, Staffordshire bull terrier
n02093428	アメリカン・ピット・ブル・テリア
n02093647	ベドリントン・テリア
n02093754	Border terrier
n02093859	Kerry blue terrier
n02093991	Irish terrier
n02094114	Norfolk terrier
n02094258	Norwich terrier
n02094433	ヨークシャーテリア
n02095314	wire-haired fox terrier
n02095570	Lakeland terrier
n02095889	Sealyham terrier, Sealyham
n02096051	Airedale, Airedale terrier
n02096177	ケアーン・テリア
n02096294	Australian terrier
n02096437	Dandie Dinmont, Dandie Dinmont terrier
n02096585	Boston bull, Boston terrier
n02097047	ミニチュア・シュナウザー
n02097130	ジャイアント・シュナウザー
n02097209	standard schnauzer
n02097298	スコッチテリア
n02097474	Tibetan terrier, chrysanthemum dog
n02097658	silky terrier, Sydney silky
n02098105	soft-coated wheaten terrier
n02098286	ウエスト・ハイランド・ホワイト・テリア
n02098413	ラサ
n02099267	flat-coated retriever
n02099429	curly-coated retriever
n02099601	ゴールデン・レトリバー
n02099712	ラブラドール・レトリバー
n02099849	チェサピーク・ベイ・レトリーバー
n02100236	German short-haired pointer
n02100583	vizsla, Hungarian pointer
n02100735	English setter
n02100877	アイリッシュ・セッター
